sample size,time limit,particles number,cognitive param,social param,weight,allocation number,fitness score
60,120,25,0.0001,0.0001,10,7,0.433939514939063
60,120,25,0.0001,0.0001,10,8,0.581562622439382
60,120,25,0.0001,0.0001,10,9,0.5623500337721207
60,120,25,0.0001,0.0001,10,10,0.2502279744671702
60,120,25,0.0001,0.0001,10,11,0.6903458193406583
60,120,25,0.0001,0.0001,10,12,0.32674882181145737
60,120,25,0.0001,0.0001,10,13,0.4919728672089068
60,120,25,0.0001,0.0001,10,14,0.5247504199793929
60,120,25,0.0001,0.0001,10,15,0.49949710635156164
60,120,25,0.0001,0.0001,10,16,0.3724561791919977
60,120,25,0.0001,0.0001,10,17,0.5004980979146895
60,120,25,0.0001,0.0001,10,18,0.31088637199128116
60,120,25,0.0001,0.0001,10,19,0.4334689077956693
60,120,25,0.0001,0.0001,10,20,0.5496318409728892
60,120,25,0.0001,0.0001,10,21,0.49759532145763063
60,120,25,0.0001,0.0001,10,22,0.3310370287950365
60,120,25,0.0001,0.0001,10,23,0.45523197394889564
60,120,25,0.0001,0.0001,10,24,0.3452866898848284
60,120,25,0.0001,0.0001,10,25,0.5144771578060674
60,120,25,0.0001,0.0001,10,26,0.4618859003179375
60,120,25,0.0001,0.0001,10,27,0.30285731482224465
60,120,25,0.0001,0.0001,10,28,0.46414905297563624
60,120,25,0.0001,0.0001,10,29,0.7608127657005798
60,120,25,0.0001,0.0001,10,30,0.3735290125842659
60,120,25,0.0001,0.0001,10,31,0.5458718620949229
60,120,25,0.0001,0.0001,10,32,0.2717515256305307
60,120,25,0.0001,0.0001,10,33,0.2940494329694767
60,120,25,0.0001,0.0001,10,34,0.5725897892116576
60,120,25,0.0001,0.0001,10,35,0.7513919332565042
60,120,25,0.0001,0.0001,10,36,0.5217013252535567
60,120,25,0.0001,0.0001,10,37,0.5013994054224885
60,120,25,0.0001,0.0001,10,38,0.5726183373457755
60,120,25,0.0001,0.0001,10,39,0.6117626397321795
60,120,25,0.0001,0.0001,10,40,0.34648320576587616
60,120,25,0.0001,0.0001,10,41,0.7706350769628144
60,120,25,0.0001,0.0001,10,42,0.4428616452506139
60,120,25,0.0001,0.0001,10,43,0.6568916627949204
60,120,25,0.0001,0.0001,10,44,0.2787326272568045
60,120,25,0.0001,0.0001,10,45,0.2821191191789514
60,120,25,0.0001,0.0001,10,46,0.3682739559193248
60,120,25,0.0001,0.0001,10,47,0.9214847714328291
60,120,25,0.0001,0.0001,10,48,0.3783782184547202
60,120,25,0.0001,0.0001,10,49,0.6645389821746422
60,120,25,0.0001,0.0001,10,50,0.6612713454412317
60,120,25,0.0001,0.0001,10,51,0.40207684330623056
60,120,25,0.0001,0.0001,10,52,0.3354873497265424
60,120,25,0.0001,0.0001,10,53,0.4922066386919569
60,120,25,0.0001,0.0001,10,54,0.43389326591109345
60,120,25,0.0001,0.0001,10,55,0.4953134612196283
60,120,25,0.0001,0.0001,10,56,0.23472784998636662
60,120,25,0.0001,0.0001,10,57,0.36905445625587435
60,120,25,0.0001,0.0001,10,58,0.5340595594652486
60,120,25,0.0001,0.0001,10,59,0.3891007862119082
60,120,25,0.0001,0.0001,10,60,0.5213746697337713
60,120,25,0.0001,0.0001,10,61,0.5912928254542419
60,120,25,0.0001,0.0001,10,62,0.4446400777062416
60,120,25,0.0001,0.0001,10,63,0.31359937921694947
60,120,25,0.0001,0.0001,10,64,0.3486690597748971
60,120,25,0.0001,0.0001,10,65,0.6608132621054889
60,120,25,0.0001,0.0001,10,66,0.43369334031216933
60,120,25,0.0001,0.0001,10,67,0.4119512044782696
60,120,25,0.0001,0.0001,10,68,0.9073910133246871
60,120,25,0.0001,0.0001,10,69,0.4705475104805231
60,120,25,0.0001,0.0001,10,70,0.8836297382801943
60,120,25,0.0001,0.0001,10,71,0.3992359667369056
60,120,25,0.0001,0.0001,10,72,0.38432401974392694
60,120,25,0.0001,0.0001,10,73,0.8322971938697646
60,120,25,0.0001,0.0001,10,74,0.3634373838112631
60,120,25,0.0001,0.0001,10,75,0.4916048898828464
60,120,25,0.0001,0.0001,10,76,0.5383131443433238
60,120,25,0.0001,0.0001,10,77,0.4183435414598668
60,120,25,0.0001,0.0001,10,78,0.560374888408519
60,120,25,0.0001,0.0001,10,79,0.8718381788519007
60,120,25,0.0001,0.0001,10,80,0.3619014089258102
60,120,25,0.0001,0.0001,10,81,0.6456329190838158
60,120,25,0.0001,0.0001,10,82,0.6731752107800636
60,120,25,0.0001,0.0001,10,83,0.29249254934841745
60,120,25,0.0001,0.0001,10,84,0.3150007096331157
60,120,25,0.0001,0.0001,10,85,0.5493677248922607
60,120,25,0.0001,0.0001,10,86,0.35937588891228733
60,120,25,0.0001,0.0001,10,87,0.5604744233311412
