"Gestao2_MUNICIPAL"	"Gestao2_MUNICIPAL.SP"	"logPropLeitosSUS"	"Percent_SUS_Total"	"Porte_MEDIO"	"Porte_PEQUENO"	"TipoGestao2_Direta"	"TipoGestao2_Santa.Casa"	"TipoGestao2_Terceirizada"	"Total_Leitos"
0	0	0.535919816789594	-0.191316889665732	0	0	0	0	1	9.15211795994584
0	0	0.35803227373246	-0.247704949314396	0	0	0	0	1	7.26995477576684
1	0	-0.0807524000856618	-0.375045640786972	1	0	0	1	0	6.48261716404486
1	0	0.753327666658611	-0.13073237866938	0	1	0	0	1	4.53198460282269
1	0	0.465616092314338	-0.213159443134826	0	1	0	1	0	4.30969081105257
1	0	0.465616092314338	-0.213159443134826	0	1	0	0	1	3.19507910772895
1	0	1.49058269007042	-0.0214559893080471	1	0	0	0	1	5.71733040003475
1	0	1.99563519459755	0	0	1	0	1	0	4.14213562373096
0	0	1.99563519459755	0	1	0	0	1	0	5.10911994691164
1	0	0.513600761454462	-0.198161766863407	0	1	0	1	0	4.7273335753469
1	0	0.596229024569769	-0.173324669318736	1	0	0	0	1	4.81688866607121
1	0	0.274823307324396	-0.274604584810375	0	1	0	0	1	4.14213562373096
1	0	0.473322044208774	-0.210727915294715	1	0	0	0	1	5.35791593361788
1	0	1.99563519459755	0	0	0	0	0	1	7.26262300736933
1	0	0.231349361278447	-0.288466048475183	0	0	0	0	1	7.98458108314859
1	0	1.99563519459755	0	0	0	0	0	1	7.06139857005044
1	0	0.0251484607074871	-0.349076999221899	0	0	0	0	1	7.27725863715588
0	0	0.547432625972136	-0.187823088385254	1	0	0	0	1	5.47970603881668
1	0	-0.1260566123398	-0.384829318840253	1	0	0	0	1	6.34383205077422
1	0	-0.303638378771509	-0.415266233158972	1	0	0	1	0	6.39127752734872
0	0	1.99563519459755	0	0	1	0	0	1	3.42379650962106
1	0	1.99563519459755	0	0	1	0	0	0	1.74618943088019
1	0	1.99563519459755	0	1	0	0	0	1	5.2038786128081
0	0	1.07795815250133	-0.0656913971319984	1	0	0	0	1	6.46020673751495
1	0	1.99563519459755	0	0	1	0	0	0	4.75773161594553
1	0	0.678448337191417	-0.150191760100181	0	1	0	1	0	4.05115826483647
1	0	0.808752087356115	-0.117393231746161	1	0	0	1	0	5.13331440538915
1	0	1.07795815250133	-0.0656913971319984	1	0	0	1	0	5.35791593361788
0	0	1.99563519459755	0	0	0	0	0	1	6.95218203072438
1	0	0.375135914336994	-0.242165418090606	0	0	0	0	1	6.72243863913776
0	0	1.99563519459755	0	0	1	0	0	1	1.96231198851316
0	0	1.99563519459755	0	0	0	0	0	1	7.30619943823732
0	0	-0.315187284389308	-0.416824593932254	0	1	0	1	0	4.09730738355542
0	0	1.18902792263344	-0.050208312777587	0	0	0	0	1	8.14089587062044
1	0	0.515012912222461	-0.1977260097518	0	1	0	1	0	4.26943588457652
1	0	1.36231294150442	-0.0316350663323592	0	1	0	0	1	4.09730738355542
0	0	0.783114669915194	-0.123448480926605	0	0	0	0	1	6.6526895143762
0	0	0.303770828084394	-0.265278358063009	0	0	0	0	1	7.04500113742512
1	0	0.830981523952837	-0.112304424790514	0	0	0	0	1	6.58020764626453
1	0	0.666481930330163	-0.153448438270204	0	1	0	1	0	4.49700823713565
1	0	0.310510643108935	-0.263099753152107	0	1	0	1	0	4.46125549591926
1	0	0.735911262310353	-0.135113560009807	0	1	0	0	1	3.9038917031591
1	0	0.555059114160986	-0.185523318314139	0	1	0	0	1	4.18572034507082
0	0	0.151739833291832	-0.313099773155461	1	0	0	1	0	4.81688866607121
0	0	0.816053605190084	-0.115705171518869	0	1	0	0	1	3.74108810316638
1	0	0.577866027390431	-0.178719097324865	1	0	0	0	1	5.157165665104
1	0	0.585953282057943	-0.176333818242898	0	1	0	0	1	4.78757636628315
1	0	1.08899801758987	-0.0640120137915762	0	1	0	0	0	3.1101942303975
1	0	0.0526085070606694	-0.341685237817553	1	0	0	1	0	5.51845573915362
0	0	1.99563519459755	0	0	0	0	0	1	6.5589642992588
1	0	0.78597046205571	-0.122764139385422	0	1	0	1	0	3.1101942303975
1	0	0.461476970590002	-0.214468733542429	1	0	0	1	0	6.33177457717503
1	0	1.99563519459755	0	1	0	0	0	1	5.89584877519623
1	0	0.217222399802567	-0.29291866095294	0	1	0	1	0	4.46125549591926
1	0	0.585953282057943	-0.176333818242898	0	1	0	1	0	4.46125549591926
0	0	1.99563519459755	0	0	0	0	0	1	7.60502326447742
1	0	1.24729059749888	-0.0432628026438725	0	0	0	0	0	7.18771927587482
1	0	1.99563519459755	0	0	1	0	0	0	4.30969081105257
1	0	1.99563519459755	0	0	1	0	0	0	0.717734625362932
0	0	1.99563519459755	0	0	0	0	0	1	6.86363891200601
1	0	0.362742032331305	-0.246178885508922	1	0	0	1	0	5.22675921848788
1	0	1.99563519459755	0	0	1	0	0	0	3.35141362540314
1	0	0.54858581271736	-0.187474583590733	0	0	0	1	0	6.64250746552764
1	0	0.854530842957127	-0.107077659126845	1	0	0	0	1	5.62974617752125
1	0	1.99563519459755	0	1	0	0	0	1	5.31531151660001
1	0	1.99563519459755	0	0	1	0	0	0	4.7273335753469
0	0	1.99563519459755	0	0	0	0	0	1	7.35582122847031
1	0	0.257658744523668	-0.280102433414557	1	0	0	0	1	5.59343852873422
1	0	0.69196510276736	-0.146560676239455	0	1	0	1	0	4.34895165675361
0	0	0.439332693830263	-0.221508601587111	1	0	0	1	0	6.2194847799143
0	0	0.863140967553503	-0.105208825536445	0	0	0	0	1	7.47785627317442
1	0	0.172475130903941	-0.306801380672238	0	1	0	1	0	3.49282847673564
0	0	0.241477859638618	-0.285256434077699	0	1	0	1	0	4.69636013359931
0	0	1.05392630157776	-0.0694597113726318	0	0	0	1	0	7.70697046334809
1	0	1.99563519459755	0	1	0	0	0	1	5.68282336140202
0	0	0.756719000926796	-0.129889714311233	1	0	0	0	1	6.4029481190582
1	0	1.99563519459755	0	1	0	0	1	0	5.75116878706807
0	0	1.14563846908158	-0.0558915103761457	0	0	0	0	1	6.89955854871581
1	0	0.172475130903941	-0.306801380672238	0	1	0	0	1	4.63259159663225
0	0	1.41636309149882	-0.0270205176001615	0	0	0	0	1	6.82701720574111
1	0	0.471931714471352	-0.211166024064057	1	0	0	1	0	5.66531025721845
1	0	0.317420411852151	-0.260864207674383	0	1	0	1	0	3.95454894014973
1	0	1.18296548142919	-0.0509754234191864	0	1	0	1	0	4.38726886549917
1	0	0.271204011814273	-0.275766171721155	1	0	0	1	0	5.51845573915362
1	0	0.78597046205571	-0.122764139385422	1	0	0	1	0	5.05965854614924
1	0	0.267186273002955	-0.277054244645541	0	1	0	0	1	3.68273083326154
1	0	0.260613458059794	-0.279158107861083	1	0	0	1	0	5.3788256009247
1	0	1.10230976879882	-0.0620296139077199	0	1	0	1	0	4.09730738355542
1	0	0.384823082453489	-0.239032002739168	1	0	0	1	0	6.46020673751495
0	0	0.144057189343464	-0.315408763790912	0	0	0	0	1	6.6219735770525
1	0	0.890789523358161	-0.0993600701442456	1	0	0	1	0	5.2038786128081
1	0	1.99563519459755	0	0	0	0	0	1	7.10178244277955
0	0	1.99563519459755	0	0	1	0	0	1	4.66478780211682
1	0	1.99563519459755	0	0	1	0	0	0	1.96231198851316
0	0	1.99563519459755	0	0	0	0	0	1	8.95898683669051
