"CNES"	"Gestao2_MUNICIPAL"	"Gestao2_MUNICIPAL.SP"	"Percent_SUS_classe_Alto"	"Percent_SUS_classe_Medio"	"Porte_Grande"	"Porte_Medio"	"TipoGestao2_Direta"	"TipoGestao2_Santa.Casa"	"TipoGestao2_Terceirizada"
"2080362"	1	0	0	0	0	0	0	0	1
"2081660"	1	0	0	1	0	0	0	1	0
"2080451"	1	0	0	1	0	0	0	1	0
"7603274"	1	0	1	0	0	0	0	0	1
"2093227"	1	0	0	1	0	0	0	1	0
"2080826"	1	0	0	0	0	0	0	0	1
"2087804"	0	0	0	1	1	0	0	0	1
"2792176"	0	0	1	0	1	0	0	0	1
"2086271"	1	0	1	0	0	0	0	0	0
"3139050"	1	0	1	0	0	1	0	0	1
"2027186"	1	0	0	1	1	0	0	1	0
"6971199"	1	0	1	0	0	0	0	0	0
"2078104"	0	0	0	1	1	0	0	0	1
"2085143"	0	0	0	0	1	0	0	0	1
"2081091"	1	0	0	1	0	1	0	0	0
"2084287"	1	0	0	0	0	1	0	1	0
"2079836"	1	0	0	1	0	1	0	1	0
"2751674"	1	0	0	1	0	0	0	0	1
"2079224"	1	0	1	0	0	0	0	0	0
"2078562"	0	0	1	0	1	0	0	0	1
"2081555"	1	0	0	0	0	1	0	1	0
"2023709"	1	0	0	0	0	1	0	1	0
"2076942"	1	0	0	0	0	0	0	0	1
"2798239"	1	0	1	0	0	0	0	0	1
"2092298"	1	0	1	0	0	1	0	1	0
"2096412"	1	0	0	1	0	1	0	1	0
"2085194"	1	0	0	0	1	0	0	0	1
"2081466"	0	0	0	0	1	0	0	0	1
"2023474"	1	0	0	1	0	1	0	0	1
"2079895"	0	0	0	0	0	1	0	1	0
"7066376"	0	0	1	0	0	0	0	0	1
"2790653"	0	0	0	1	1	0	0	0	1
"2083086"	0	0	0	1	1	0	0	0	1
"2791722"	1	0	0	0	1	0	0	1	0
"2023865"	1	0	1	0	0	0	0	0	1
"2086719"	1	0	1	0	0	0	0	1	0
"2080095"	0	0	0	0	0	1	0	1	0
"2786435"	1	0	0	1	1	0	0	0	1
"7573162"	0	0	1	0	0	1	0	0	1
"3012212"	1	0	0	1	0	1	0	0	1
"2716801"	1	0	0	0	0	0	0	0	1
"2701561"	1	0	1	0	0	0	0	0	1
"2751003"	1	0	0	0	0	0	0	1	0
"2079976"	1	0	0	0	0	0	0	1	0
"2078074"	1	0	0	1	0	1	0	1	0
"2077582"	1	0	0	0	0	1	0	0	1
"2081458"	1	0	0	1	1	0	0	1	0
"2087103"	1	0	0	0	0	1	0	0	1
"2758245"	1	0	0	1	0	1	0	1	0
"2087111"	1	0	0	1	1	0	0	1	0
"2079917"	1	0	0	0	0	0	0	1	0
"2081431"	1	0	0	1	0	0	0	1	0
"2081792"	1	0	0	0	0	0	0	1	0
"2086336"	1	0	0	1	0	0	0	0	1
"2079437"	1	0	0	1	0	0	0	0	1
"2025507"	0	0	0	1	1	0	0	0	1
"5860490"	1	0	0	1	1	0	0	0	1
"2080990"	1	0	0	1	1	0	0	0	1
"2083116"	1	0	0	0	1	0	0	1	0
"2086050"	1	0	1	0	0	0	0	0	1
"9377255"	1	0	0	0	0	1	0	0	1
"2751011"	1	0	0	1	0	0	0	1	0
"2090961"	0	0	0	0	1	0	0	0	1
"2082349"	1	0	1	0	1	0	0	0	1
"2751747"	1	0	0	0	0	1	0	1	0
"2088525"	1	0	0	1	0	1	0	1	0
"2083019"	0	0	1	0	0	1	0	0	1
"2716275"	1	0	0	0	0	0	0	0	1
"2082942"	1	0	0	0	0	0	0	1	0
"2705222"	1	0	0	0	0	1	0	1	0
"2080680"	0	0	0	1	1	0	0	0	1
"2080052"	1	0	0	1	1	0	0	0	1
"7473702"	1	0	1	0	0	1	0	0	1
"2096463"	1	0	0	0	1	0	0	1	0
"2096498"	1	0	1	0	0	1	0	0	1
"2088193"	1	0	0	1	0	1	0	0	1
"2079208"	0	0	0	1	0	1	0	0	1
"2024438"	1	0	1	0	0	0	0	0	0
"2028204"	1	0	0	0	0	1	0	1	0
"2082667"	0	0	0	0	0	1	0	1	0
"2053519"	1	0	0	1	0	0	0	0	1
"2053500"	1	0	0	0	0	0	0	0	1
"2078341"	1	0	0	1	0	0	0	0	1
"2745801"	1	0	0	1	0	1	0	0	1
"6680968"	1	0	1	0	0	0	0	0	0
"2084023"	1	0	1	0	0	0	0	0	1
"2079682"	1	0	0	0	0	0	0	1	0
"2093502"	0	0	0	0	0	0	0	0	1
"2093405"	0	0	0	0	0	1	0	0	1
"2747685"	1	0	0	1	0	0	0	1	0
"2082659"	0	0	0	0	0	1	0	1	0
"2058308"	1	0	1	0	0	0	0	0	0
"2088487"	1	0	0	0	0	1	0	1	0
"2082845"	1	0	0	0	0	1	0	1	0
"2745798"	1	0	0	0	0	1	0	0	1
"2082586"	1	0	0	1	0	1	0	1	0
"4049020"	1	0	0	1	1	0	0	1	0
"7188676"	0	0	1	0	0	0	0	0	1
"2716291"	1	0	0	1	0	0	0	0	1
"2079291"	1	0	0	0	0	0	0	1	0
"2080958"	1	0	0	0	0	0	0	1	0
"2079283"	1	0	1	0	0	0	0	1	0
"2082519"	1	0	0	1	0	1	0	1	0
"6603378"	1	0	1	0	0	0	0	0	1
"2081229"	1	0	0	1	0	0	0	1	0
"2078449"	0	0	0	0	0	0	0	1	0
"2081059"	1	0	0	1	0	1	0	0	0
"2080869"	1	0	0	1	0	0	0	1	0
"2791749"	1	0	0	1	0	1	0	1	0
"2080478"	0	0	0	1	0	1	0	1	0
"2078422"	1	0	1	0	0	1	0	0	0
"7822421"	1	0	1	0	0	0	0	0	0
"2078503"	1	0	0	1	0	1	0	1	0
"2078384"	1	0	1	0	0	1	0	0	1
"2083027"	1	0	0	1	0	1	0	1	0
"9297715"	1	0	1	0	0	0	0	0	1
"2083175"	1	0	0	1	0	1	0	1	0
"2078902"	1	0	0	1	0	0	0	1	0
"2755092"	1	0	0	1	1	0	0	1	0
"2079852"	1	0	1	0	0	0	0	1	0
"2772310"	1	0	0	0	1	0	0	1	0
"2087057"	1	0	0	0	1	0	0	0	1
"9425802"	0	0	1	0	0	1	0	0	1
"6284582"	0	0	1	0	0	0	0	0	1
"2081350"	1	0	0	1	0	1	0	0	1
"2080370"	1	0	0	1	0	1	0	1	0
"2790998"	0	0	0	0	1	0	0	0	1
"2079909"	1	0	0	0	0	0	0	0	1
"2785382"	1	0	0	0	0	1	0	1	0
"2791757"	1	0	0	1	0	0	0	1	0
"2089548"	1	0	0	0	0	0	0	1	0
"2080621"	1	0	0	1	0	0	0	1	0
"2083493"	1	0	0	1	0	0	0	1	0
"2080109"	1	0	0	0	0	0	0	1	0
"2079925"	1	0	0	0	0	1	0	1	0
"2082322"	1	0	0	0	0	1	0	0	1
"2096617"	1	0	0	1	0	0	0	0	1
"2080907"	1	0	0	1	0	0	0	1	0
"2716097"	1	0	1	0	1	0	0	0	1
"2716089"	1	0	1	0	0	0	0	0	0
"2698374"	1	0	0	1	0	1	0	0	1
"2751038"	1	0	0	1	0	1	0	1	0
"2755130"	0	0	0	1	1	0	0	0	1
"2058782"	0	0	0	1	1	0	0	0	1
"2080532"	0	0	0	0	1	0	0	1	0
"7400926"	0	0	0	0	0	1	0	0	1
"2078139"	1	0	0	0	0	1	0	1	0
"2790610"	0	0	1	0	0	1	0	0	1
"2058340"	1	0	1	0	0	0	0	0	0
"2081873"	0	0	0	1	0	1	0	0	1
"2080524"	1	0	0	1	0	0	0	0	1
"9556095"	0	0	0	1	1	0	0	0	1
"2079593"	0	0	0	1	0	1	0	0	1
"2747693"	1	0	0	1	0	0	0	1	0
"2705249"	1	0	1	0	0	0	0	0	0
"2081202"	1	0	1	0	0	1	0	0	1
"2082187"	0	0	0	1	1	0	0	0	1
"2084414"	1	0	0	0	1	0	0	1	0
"2080400"	1	0	0	0	1	0	0	0	1
"2081164"	1	0	0	1	0	1	0	0	1
"2079119"	0	0	1	0	0	1	0	0	1
"5887623"	0	0	1	0	0	0	0	0	1
"7420595"	1	0	1	0	0	0	0	0	1
"3314766"	1	0	0	1	0	0	0	0	1
"7615280"	1	0	0	0	0	0	0	0	1
"2081237"	1	0	0	1	0	0	0	0	1
"2082888"	1	0	0	0	1	0	0	1	0
"2083159"	0	0	0	1	0	1	0	0	1
"2766167"	1	0	0	1	0	0	0	0	0
"2081571"	1	0	0	0	0	0	0	1	0
"2750546"	0	0	1	0	0	1	0	0	1
"2078112"	1	0	0	0	0	0	0	0	1
"2079380"	1	0	1	0	0	0	0	1	0
"3774554"	1	0	1	0	0	1	0	0	1
"2079429"	1	0	0	1	0	0	0	1	0
"2079178"	1	0	1	0	0	0	0	0	1
"2082756"	1	0	0	0	0	0	0	1	0
"2079550"	1	0	0	0	0	0	0	1	0
"2079232"	1	0	0	1	0	1	0	0	1
"2080745"	1	0	0	1	0	0	0	1	0
"2084058"	1	0	0	0	0	1	0	1	0
"2093332"	1	0	0	1	0	1	0	1	0
"2083140"	1	0	0	1	0	1	0	1	0
"2091267"	1	0	0	0	0	1	0	1	0
"2746298"	1	0	0	0	0	0	0	1	0
"2072513"	1	0	0	1	0	0	0	0	1
"3071448"	1	0	1	0	0	0	0	0	0
"2751046"	1	0	0	0	0	1	0	1	0
"2080273"	0	0	1	0	1	0	0	0	1
"0008923"	1	0	1	0	1	0	0	0	1
"6020917"	1	0	1	0	0	1	0	0	1
"6655416"	0	0	1	0	0	0	0	0	1
"9208887"	1	0	1	0	0	0	0	0	0
"6998704"	1	0	0	1	1	0	0	0	1
"2080354"	1	0	0	0	1	0	0	0	1
"2078546"	1	0	0	0	0	0	0	1	0
"2069776"	1	0	0	1	1	0	0	0	1
"7373465"	1	0	1	0	1	0	0	0	1
"2025361"	1	0	1	0	1	0	0	0	1
"2027356"	1	0	1	0	0	1	0	0	1
"3223728"	1	0	0	1	0	1	0	1	0
"2082594"	1	0	0	1	1	0	0	0	0
"5935857"	1	0	1	0	0	1	0	0	1
"2080931"	1	0	0	0	1	0	0	1	0
"5586348"	1	0	0	1	0	1	0	0	1
"2084228"	1	0	0	0	1	0	0	1	0
"2080044"	0	0	0	0	0	1	0	1	0
"2080923"	1	0	0	0	0	1	0	0	1
"2077396"	0	0	0	0	1	0	0	0	1
"2798298"	1	0	0	0	1	0	0	1	0
"2097648"	1	0	0	1	1	0	0	0	1
"6236596"	0	0	1	0	0	1	0	0	1
"3529282"	1	0	1	0	0	1	0	0	1
"2097613"	1	0	0	0	1	0	0	0	1
"0009628"	1	0	1	0	1	0	0	0	1
"9491252"	0	0	0	1	1	0	0	0	1
"2748029"	0	0	0	0	1	0	0	1	0
"2085569"	1	0	0	1	0	1	0	0	1
"0009601"	1	0	0	1	0	1	0	0	1
"5869412"	0	0	0	0	0	0	0	0	1
"0009695"	1	0	1	0	0	0	0	0	0
"0009539"	1	0	0	0	0	1	0	0	0
"2079690"	1	0	0	0	0	0	0	1	0
"2080443"	1	0	0	0	0	1	0	0	1
"7320175"	1	0	1	0	0	1	0	0	1
"2078015"	0	0	0	1	1	0	0	0	1
"2688689"	0	0	1	0	1	0	0	1	0
"2077485"	0	0	0	1	1	0	0	0	1
"2077477"	0	0	0	1	1	0	0	0	1
"2688581"	0	1	1	0	1	0	0	0	0
"2077574"	0	0	1	0	1	0	0	0	1
"2071568"	0	0	0	1	1	0	0	0	1
"2088495"	0	0	0	1	1	0	0	0	1
"2077620"	0	0	1	0	1	0	0	0	1
"2077523"	0	0	1	0	1	0	0	0	1
"2066092"	0	0	1	0	1	0	0	0	1
"2688522"	0	0	0	1	1	0	0	0	1
"2077671"	0	0	0	1	1	0	0	0	1
"2080575"	0	1	0	0	1	0	0	0	1
"2077493"	0	0	1	0	1	0	0	0	1
"3001466"	0	0	1	0	1	0	0	0	1
"2079240"	0	0	0	1	1	0	0	0	1
"2077426"	0	0	1	0	1	0	0	0	1
"2077531"	0	1	0	0	1	0	0	0	1
"2089572"	0	1	1	0	1	0	0	0	1
"2688573"	0	0	0	1	1	0	0	0	1
"2088576"	0	0	1	0	1	0	0	0	1
"2091585"	0	0	1	0	1	0	0	0	1
"2076896"	0	1	0	1	1	0	0	0	1
"2089785"	0	1	0	1	1	0	0	0	1
"2070766"	0	0	1	0	0	1	0	0	1
"2088517"	0	0	0	1	0	1	0	0	1
"2077388"	0	1	0	1	0	1	0	0	1
"2078570"	0	1	0	1	0	1	0	0	0
"2077590"	0	1	0	0	1	0	0	0	1
"2075962"	0	1	0	0	0	1	0	0	1
"2076985"	0	1	1	0	0	1	0	0	1
"2080125"	0	0	1	0	0	1	0	0	1
"2077469"	0	1	0	0	0	1	0	0	0
"5451612"	0	0	1	0	0	1	0	0	1
"2091399"	0	1	0	1	0	1	0	0	1
"2077752"	0	1	1	0	0	0	0	0	1
"2089696"	0	1	0	0	0	1	0	0	1
"2058391"	0	1	0	0	1	0	0	0	0
"2078597"	0	1	0	0	1	0	0	0	0
"2091550"	0	1	1	0	0	0	0	0	1
"2082624"	0	1	0	0	1	0	0	0	0
"5437156"	0	0	1	0	0	0	0	0	1
"2077655"	0	1	0	0	0	1	0	0	1
"6479200"	0	0	1	0	0	0	0	0	1
"2089602"	0	1	0	0	1	0	0	0	0
"2091542"	0	0	1	0	0	0	0	0	1
"2688638"	0	1	1	0	0	0	0	0	1
"2079127"	0	1	0	0	1	0	0	0	0
"2069008"	0	0	1	0	0	0	0	0	1
"7385978"	0	1	1	0	0	0	0	0	0
"2081288"	0	1	0	0	1	0	0	0	0
"7572468"	0	1	1	0	0	0	0	0	1
"2079445"	0	1	0	0	0	1	0	0	0
"2078589"	0	1	0	0	1	0	0	0	0
"2084422"	1	0	0	1	0	1	0	1	0
"2082721"	1	0	1	0	0	1	0	1	0
"2765934"	1	0	0	1	0	1	0	0	1
"2082284"	1	0	0	1	0	0	0	1	0
"2058243"	1	0	0	1	0	0	0	1	0
"2080729"	1	0	0	0	0	1	0	0	1
"2081393"	1	0	0	0	0	0	0	0	1
"9773657"	0	0	1	0	0	1	0	0	1
"2079364"	1	0	0	1	0	1	0	1	0
"2084171"	1	0	0	0	0	1	0	0	1
"2079704"	1	0	0	1	0	1	0	0	1
"2081695"	0	0	0	1	1	0	0	0	1
"2708779"	1	0	0	1	1	0	0	1	0
"9491112"	0	0	0	1	1	0	0	0	1
"2765942"	1	0	0	0	0	1	0	0	1
"2079321"	1	0	0	1	0	1	0	0	1
"2078813"	0	0	0	0	0	0	0	0	1
